,age,lake,lakenorm,char,charnorm,Poa,Poanorm,Podo,Podonorm,Miombo,Miombonorm,Olea,Oleanorm,rich,richnorm,Asters,Age
29,87.07112632,0.045496159,0.572412419,121.6652275,0.682510497,78.55,0.921927514,0.69,0.06476579,0.17,0.179243499,5.6,0.734655381,1.718648592,0.08663826,0.723327306,>85 ka
30,87.23731032,-0.018795094,0.437367877,67.73399112,0.519539973,73.63,0.874996251,0.83,0.066088557,0.66,0.287030542,3.8,0.514298806,1.509672127,0.067964388,0.321027287,>85 ka
31,87.5652489,0.088029702,0.658203307,306.2506184,0.973310501,87.54,0.971774494,0.16,0.05994369,0,0.148747214,2.7,0.372446285,1.076036464,0.039239433,0.156985871,>85 ka
32,87.91264191,-0.106249589,0.267507703,26.08866808,0.389835473,78.98,0.925287351,3.28,0.092763821,0,0.148747214,3.5,0.475015443,1.724345502,0.087196306,0.317460317,>85 ka
33,88.33068399,-0.230538736,0.100627758,76.39549565,0.546717643,79.38,0.928312658,2.13,0.079389745,0,0.148747214,4.6,0.617363134,1.708623619,0.085662743,0.288184438,>85 ka
34,88.70980704,-0.094653547,0.288076262,0.01331747,0.313630397,91.82,0.983843784,0.16,0.05994369,0.16,0.177347558,2.2,0.312216633,1.076385591,0.039257773,0,>85 ka
35,89.10464718,-0.197912808,0.13450208,57.24939465,0.486531859,88.73,0.975713259,0.33,0.061458773,0,0.148747214,3,0.410264842,1.50556464,0.067631273,0.624024961,>85 ka
36,89.61634231,-0.434103688,0.009260207,1.488873367,0.317772093,89.48,0.977950239,0.16,0.05994369,0,0.148747214,2.3,0.323929748,1.500366415,0.067211509,0.303490137,>85 ka
37,90.08245714,-0.399844718,0.014860771,7.488508752,0.334843738,85.39,0.963313209,4.49,0.108561382,0,0.148747214,1.5,0.235931524,1.708856754,0.085685335,0.692041522,>85 ka
38,92.13462159,-0.406315771,0.013621441,6.553490542,0.33215948,64.13,0.736694577,19.57,0.45376055,0,0.148747214,5.7,0.745306785,1.489209497,0.066317376,0,>85 ka
39,92.57474933,-0.376795149,0.020093279,2.169125559,0.319689221,77.33,0.911771516,6.67,0.141728166,0,0.148747214,2.7,0.372446285,1.91403347,0.107341403,1.315789474,>85 ka
40,93.30141098,-0.073558612,0.327293115,12.85264721,0.350403021,85.21,0.962519378,6.51,0.13908269,0,0.148747214,1.2,0.206687582,1.916087483,0.107576525,1.069518717,>85 ka
41,93.56319036,-0.118740446,0.246212364,4.308515392,0.325749858,68.5483871,0.808861324,20.16129032,0.471170887,1.612903226,0.551940607,0,0.112748849,2.051199026,0.12386623,0,>85 ka
42,93.79239369,-0.21880104,0.112015601,1.541625797,0.317920589,63.88888889,0.732391812,30.55555556,0.757510322,0,0.148747214,0,0.112748849,0.83081368,0.027976965,0,>85 ka
43,94.24564897,-0.273176019,0.066345182,5.067690684,0.327911738,67.56756757,0.793981973,21.62162162,0.514336427,0.675675676,0.290924371,0.675675676,0.161049869,1.998422723,0.11730889,0,>85 ka
44,94.69339746,-0.683483951,0.000119149,0.588023124,0.315240768,64.70588235,0.746826615,29.41176471,0.730231855,0,0.148747214,0,0.112748849,0.352956124,0.013649076,0,>85 ka
45,94.94950409,-0.643127792,0.000269093,1.150300753,0.31681972,79.16666667,0.926711069,13.88888889,0.295505953,0,0.148747214,0,0.112748849,1.161692468,0.043952594,0,>85 ka
46,95.16325624,-0.600674067,0.0006053,0,0.313593122,51.04166667,0.468400982,38.54166667,0.901546908,0,0.148747214,0,0.112748849,0.876357331,0.029836703,0,>85 ka
47,95.77625523,-0.346959273,0.029114867,2.491587539,0.320599693,49.11242604,0.426884992,34.02366864,0.83032401,0.295857988,0.204184219,2.071005917,0.297384625,3.243464802,0.338060121,0.295857988,>85 ka
48,96.05349646,-0.339708473,0.031755269,3.431045117,0.323258397,54.94880546,0.553061268,30.37542662,0.753315863,0.682593857,0.292650659,1.365187713,0.222516383,2.089499101,0.128782817,0,>85 ka
